4.39564889525528e+01 -2.84647418611131e-01 -1.51153803198034e+00 6.13365198497415e+00 -3.36322779820596e-02 1.18473079456723e+02 6.29034877750572e-02
5.90626215269948e+01 -2.84650439443783e-01 -1.51153803198034e+00 6.13365198497415e+00 -3.36322779820596e-02 -8.80879848099507e+01 6.29034877750572e-02
1.20803787557065e+02 4.47218711693343e+00 4.03673326245608e+00 9.33890466989082e-01 1.21100420986934e-01 4.37343392648315e+02 -7.16880639933360e-02
1.24437302789557e+02 4.47218572818196e+00 4.03673326245608e+00 9.33890466989082e-01 1.21100420986934e-01 -4.24497911863095e+02 -7.16880639933360e-02
1.90690225790799e+01 -2.80952350008397e+00 2.33327288110829e+00 -1.77768574056438e+00 1.56159076895711e-01 1.07087883090268e+02 7.28040113738280e-02
2.37711435801930e+01 -2.80952552372029e+00 2.33327288110829e+00 -1.77768574056438e+00 1.56159076895711e-01 -8.58901975213675e+01 7.28040113738280e-02
1.00000000000000e+01 1.72875240186774e+00 -6.04729968781114e-01 -2.94210296521609e+00 -1.51040221038134e+03 -6.77855207635654e+01 1.75217641602720e-03
1.00000000000000e+01 1.72875208529145e+00 -6.04729983383298e-01 -2.94210296521609e+00 1.51059218616777e+03 6.74146220842805e+01 1.75217641602720e-03
2.70000000000000e+01 -1.82555444555703e-01 -2.50074873069575e+00 -2.13301544985518e+00 -1.29435530104320e-02 1.42072355009975e-01 4.74490397711351e-02
1.08031000000000e-01 -2.00046776983333e-01 -5.55394386188774e-01 -3.21249079442028e+00 5.46211994272408e-02 -7.68571146736250e-03 1.47257655592474e-01
9.13090000000000e-02 -2.97028596129260e+00 7.00072855720034e-01 3.43128348947399e-01 1.27731091441941e-01 -2.58156562801027e-01 -4.10174199060244e-02
1.04985000000000e+00 -2.54501036496754e+00 5.21249243639887e-01 -1.51342847531313e+00 -1.28663226964896e-01 -9.65504992111351e-02 -5.35253579113624e-02
8.96470000000000e-02 -2.35750587129298e+00 -1.52949996628688e+00 9.14267916724272e-01 -1.04115518539862e-01 6.25244447095875e-02 8.18496562021994e-02
6.29997000000000e-01 -7.25037331596602e-01 -3.18751288058010e-01 2.67935874263784e+00 1.31959606857675e-01 -1.09073049101194e-01 1.42305982688165e-01
2.90760000000000e-01 -1.63685525737462e+00 2.01867822106842e+00 -3.24068147331387e-01 3.12258716415588e-02 -1.03146344915063e-02 8.48712209871096e-02
1.62943000000000e-01 -6.51601979822912e-01 1.74526511666048e+00 1.80096359220033e+00 6.24494996590655e-02 -8.05357735908029e-02 -2.73463602816169e-01
2.52664000000000e-01 -2.45505955394538e+00 -2.38096256224102e-01 -1.11206109454294e-01 -6.10124900494523e-02 1.86258181549993e-01 -9.33459865704856e-02
2.34942000000000e-01 7.62597206791145e-01 2.33529432650131e+00 -2.72894570400734e-02 -9.58802756750489e-02 1.08449222839100e-01 -1.12737912369813e-01
